pres20,coninc,race,hispanic
 2,5.54400000000000000e+04, 1, 1
 3,3.69600000000000000e+04, 1, 1
 3,3.02400000000000000e+03, 1, 1
 2,3.02400000000000036e+04, 1, 1
 2,1.59600000000000018e+04, 1, 1
 2,4.53600000000000000e+04, 1, 1
 1,5.54400000000000000e+04, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,3.02400000000000036e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 2,1.68736296960000007e+05, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,1.68736296960000007e+05, 1, 1
 2,4.53600000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 2,3.69600000000000000e+04, 1, 1
 1,3.69600000000000000e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,1.07520000000000000e+05, 1, 1
 2,4.53600000000000000e+04, 1, 1
 1,2.52000000000000000e+04, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 2,6.72000000000000000e+04, 1, 1
 3,6.72000000000000000e+04, 1, 1
 1,2.18400000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,1.68736296960000007e+05, 1, 1
 1,6.72000000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,6.72000000000000000e+04, 1, 1
 1,6.72000000000000000e+04, 1, 1
 1,1.68736296960000007e+05, 1, 1
 2,1.68736296960000007e+05, 1, 1
 2,6.72000000000000000e+04, 1, 1
 1,9.40800000000000000e+04, 1, 1
 1,2.18400000000000000e+04, 1, 1
 1,2.18400000000000000e+04, 1, 1
 1,2.35200000000000000e+03, 1, 1
 1,8.06400000000000000e+04, 1, 1
 1,1.59600000000000018e+04, 1, 1
 1,3.02400000000000036e+04, 1, 1
 2,7.56000000000000091e+03, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 1,1.68736296960000007e+05, 1, 1
 2,7.56000000000000091e+03, 1, 1
 2,6.72000000000000000e+04, 1, 1
 2,9.40800000000000000e+04, 1, 1
 2,1.09200000000000000e+04, 1, 1
 2,2.52000000000000000e+04, 1, 1
 2,1.34400000000000000e+03, 1, 1
 1,3.02400000000000036e+04, 1, 1
 1,5.54400000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 1,1.84800000000000000e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 2,1.59600000000000018e+04, 1, 1
 2,2.52000000000000000e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 2,6.72000000000000000e+04, 1, 1
 2,2.52000000000000000e+04, 1, 1
 1,6.04800000000000000e+03, 2, 1
 2,7.56000000000000091e+03, 2, 1
 1,1.42800000000000000e+04, 2, 1
 2,3.02400000000000036e+04, 1, 1
 1,7.56000000000000091e+03, 2, 1
 1,1.84800000000000000e+04, 2, 1
 2,9.40800000000000000e+04, 1, 1
 2,3.02400000000000036e+04, 1, 1
 1,2.18400000000000000e+04, 2, 1
 1,7.56000000000000091e+03, 2, 1
 2,6.72000000000000000e+04, 1, 1
 2,9.40800000000000000e+04, 1, 1
 1,1.42800000000000000e+04, 2, 1
 1,3.69600000000000000e+04, 2, 1
 2,3.69600000000000000e+04, 1, 1
 2,3.69600000000000000e+04, 1, 1
 2,2.18400000000000000e+04, 1, 1
 2,2.18400000000000000e+04, 1, 1
 2,1.09200000000000000e+04, 1, 1
 2,8.06400000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 2,1.59600000000000018e+04, 1, 1
 2,3.02400000000000036e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 2,2.52000000000000000e+04, 1, 1
 1,3.69600000000000000e+04, 3, 1
 2,8.06400000000000000e+04, 1, 1
 2,1.07520000000000000e+05, 1, 1
 1,1.42800000000000000e+04, 2, 1
 1,4.53600000000000000e+04, 2, 1
 1,4.53600000000000000e+04, 2, 1
 2,3.69600000000000000e+04, 1, 1
 2,6.72000000000000000e+04, 1, 1
 1,3.69600000000000000e+04, 2, 1
 1,1.34400000000000000e+03, 2, 1
 1,3.69600000000000000e+04, 2, 1
 1,6.72000000000000000e+04, 1, 1
 1,2.18400000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,1.68736296960000007e+05, 1, 1
 2,9.40800000000000000e+04, 1, 1
 3,8.06400000000000000e+04, 1, 1
 2,3.69600000000000000e+04, 1, 1
 1,9.40800000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,6.72000000000000000e+04, 1, 1
 1,3.69600000000000000e+04, 1, 1
 2,1.68736296960000007e+05, 1, 1
 1,3.02400000000000036e+04, 1, 1
 1,2.18400000000000000e+04, 1, 1
 2,5.54400000000000000e+04, 1, 1
 2,6.72000000000000000e+04, 1, 1
 2,3.02400000000000036e+04, 1, 1
 3,4.53600000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,1.59600000000000018e+04, 1, 1
 1,1.09200000000000000e+04, 1, 1
 1,4.53600000000000000e+04, 1, 1
 1,6.72000000000000000e+04, 1, 1
 2,1.84800000000000000e+04, 1, 1
 1,2.52000000000000000e+04, 1, 1
 2,3.02400000000000036e+04, 1, 1
 2,9.24000000000000000e+03, 1, 1
 2,4.53600000000000000e+04, 1, 1
 2,1.68736296960000007e+05, 1, 1
 2,3.69600000000000000e+04, 1, 1
 1,5.54400000000000000e+04, 1, 1
 1,3.02400000000000036e+04, 1, 1
 1,6.72000000000000000e+04, 1, 1
 1,3.02400000000000036e+04, 1, 1
 1,3.69600000000000000e+04, 1, 1
 2,1.42800000000000000e+04, 1, 1
 1,1.84800000000000000e+04, 1, 1
 1,9.40800000000000000e+04, 1, 1
 1,1.07520000000000000e+05, 1, 1
 1,6.72000000000000000e+04, 1, 1
